Frequency [Hz] - Plot 0	Amplitude - Plot 0
0	0.000109971
1	5.50E-05
2	1.76E-11
3	3.76E-12
4	1.05E-11
5	3.82E-13
6	3.44E-11
7	2.32E-11
8	7.08E-12
9	1.59E-11
10	3.73E-11
11	4.93E-11
12	2.66E-12
13	2.78E-11
14	2.32E-10
15	3.44E-10
16	1.28E-09
17	9.25E-09
18	1.43E-07
19	0.147071
20	0.583083
21	0.144476
22	1.45E-07
23	8.75E-09
24	1.23E-09
25	3.76E-10
26	1.69E-10
27	3.56E-11
28	2.94E-11
29	2.07E-11
30	2.51E-11
31	2.19E-11
32	1.11E-11
33	7.65E-12
34	1.43E-11
35	2.94E-12
36	1.10E-12
37	1.88E-11
38	9.02E-11
39	1.78E-06
40	6.98E-06
41	1.72E-06
42	1.58E-12
43	2.44E-12
44	2.74E-12
45	7.57E-12
46	1.64E-11
47	9.20E-12
48	1.28E-11
49	1.96E-11
50	1.95E-11
51	1.73E-11
52	1.45E-11
53	1.48E-11
54	2.08E-12
55	7.01E-13
56	6.96E-12
57	1.65E-11
58	6.07E-12
59	3.08E-07
60	1.19E-06
61	2.86E-07
62	2.61E-11
63	1.44E-12
64	6.03E-12
65	5.19E-12
66	2.71E-12
67	6.89E-12
68	2.09E-11
69	4.86E-12
70	6.21E-12
71	9.79E-12
72	1.02E-11
73	3.85E-12
74	2.49E-12
75	3.17E-12
76	4.21E-12
77	1.37E-12
78	3.44E-13
79	1.86E-07
80	7.21E-07
81	1.72E-07
82	1.66E-11
83	4.59E-12
84	3.64E-11
85	5.12E-11
86	6.65E-12
87	2.03E-12
88	5.50E-12
89	1.73E-12
90	5.11E-12
91	8.98E-13
92	3.40E-12
93	4.09E-12
94	8.57E-12
95	7.67E-12
96	8.13E-13
97	2.63E-12
98	7.21E-12
99	4.63E-08
100	1.79E-07